Company,Utility,Location,Date,Gallons,X,Y
Amazon ,Stafford County Utilities  ,123–125 Old Potomac Church Rd,12/31/2025 0:00,0,38.42,-77.41
Amazon ,Spotsylvania County Utilities,4110 Overview Dr,11/30/2025 0:00,0,38.22,-77.48
Amazon ,Spotsylvania County Utilities,8432 Flippo Dr,12/31/2025 0:00,0,38.19,-77.47
Amazon ,Spotsylvania County Utilities,4049 Massaponax Church Rd,1/31/2026 0:00,0,38.2,-77.47
Amazon ,Louisa County Water Authority ,Kentucky Spring Road & Hailey Drive,12/31/2025 0:00,0,38.05,-77.82
Amazon ,King George County Sewer Authority,10900 Birchwood Dr,12/31/2025 0:00,0,38.27,-77.32
Amazon ,Culpeper County Water and Sewer Authority ,20420 Germanna Hwy,12/31/2025 0:00,0,38.44,-77.88
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,1/1/2023 0:00,14184,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,2/1/2023 0:00,35244.5,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,3/1/2023 0:00,45661.9,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,4/1/2023 0:00,575059.1,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,5/1/2023 0:00,169691,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,6/1/2023 0:00,936664.6,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,7/1/2023 0:00,2099735.4,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,8/1/2023 0:00,1618583.3,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,9/1/2023 0:00,825058.2,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,10/1/2023 0:00,253206.3,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,11/1/2023 0:00,25076.9,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,12/1/2023 0:00,14669,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,1/1/2024 0:00,16447,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,2/1/2024 0:00,15368.1,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,3/1/2024 0:00,14992,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,4/1/2024 0:00,392640.9,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,5/1/2024 0:00,606346.3,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,6/1/2024 0:00,1454874.9,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,7/1/2024 0:00,1741203.6,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,8/1/2024 0:00,1288644.3,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,9/1/2024 0:00,47334.3,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,10/1/2024 0:00,22146.7,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,11/1/2024 0:00,15429,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,12/1/2024 0:00,18249,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,1/1/2025 0:00,14271,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,2/1/2025 0:00,15959,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,3/1/2025 0:00,47293.1,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,4/1/2025 0:00,25337.9,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,5/1/2025 0:00,304748.1,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,6/1/2025 0:00,959814.5,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,7/1/2025 0:00,1299067.1,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,8/1/2025 0:00,295826.2,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,9/1/2025 0:00,141043.1,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,10/1/2025 0:00,21913.7,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,11/1/2025 0:00,18374,38.82,-77.65
Amazon,Prince William Water Authority ,15395 John Marshall Hwy ,12/1/2025 0:00,19465,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,1/1/2023 0:00,4685,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,2/1/2023 0:00,5452,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,3/1/2023 0:00,5668.2,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,4/1/2023 0:00,52965.1,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,5/1/2023 0:00,42649.3,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,6/1/2023 0:00,101848.3,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,7/1/2023 0:00,1076905.9,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,8/1/2023 0:00,653190.9,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,9/1/2023 0:00,79710.4,38.82,-77.65
